run,expected_packets,xdp_run_count,runtime_ns,wall_seconds,kernel_ns_per_packet,kernel_equivalent_pps,replay_pps,delivery_percent
1,1456250,1456269,82025674,4.170030355,56.326,17753819.371,349222.638,100.001305
2,1456250,1456251,94954686,4.820746561,65.205,15336273.136,302079.975,100.000069
3,1456250,1456251,80960024,4.124684867,55.595,17987284.688,353057.518,100.000069
4,1456250,1456250,90725447,4.603580192,62.301,16051174.705,316329.887,100.000000
5,1456250,1456250,91496535,4.650986024,62.830,15915903.263,313105.650,100.000000
6,1456250,1456251,89371810,4.541695912,61.371,16294299.064,320640.357,100.000069
7,1456250,1456250,94110275,4.750600467,64.625,15473868.289,306540.196,100.000000
